"Date Printed: Sunday, April 16, 2023 10:46:30 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Death data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



指标 ,年 ,地理 ,案例 ,每 100000 人的比率 
"HIV diagnoses","2013","Montana","30","22","2.6"
"HIV diagnoses","2014","Montana","30","14","1.6"
"HIV diagnoses","2015","Montana","30","19","2.2"
"HIV diagnoses","2016","Montana","30","20","2.3"
"HIV diagnoses","2017","Montana","30","31","3.5"
"HIV diagnoses","2018","Montana","30","24","2.7"
"HIV diagnoses","2019","Montana","30","25","2.8"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Montana","30","14","1.5"
"HIV prevalence","2008","Montana","30","305","37.5"
"HIV prevalence","2009","Montana","30","328","40.1"
"HIV prevalence","2010","Montana","30","419","50.4"
"HIV prevalence","2011","Montana","30","474","56.6"
"HIV prevalence","2012","Montana","30","488","57.8"
"HIV prevalence","2013","Montana","30","524","61.5"
"HIV prevalence","2014","Montana","30","537","62.5"
"HIV prevalence","2015","Montana","30","563","64.9"
"HIV prevalence","2016","Montana","30","575","65.6"
"HIV prevalence","2017","Montana","30","615","69.3"
"HIV prevalence","2018","Montana","30","637","71.1"
"HIV prevalence","2019","Montana","30","661","73.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","Montana","30","687","75.0"
"AIDS classifications","2008","Nebraska","31","71","4.9"
"AIDS classifications","2009","Nebraska","31","64","4.4"
"AIDS classifications","2010","Nebraska","31","84","5.6"
"AIDS classifications","2011","Nebraska","31","48","3.2"
"AIDS classifications","2012","Nebraska","31","42","2.8"
"AIDS classifications","2013","Nebraska","31","62","4.1"
"AIDS classifications","2014","Nebraska","31","48","3.1"
"AIDS classifications","2015","Nebraska","31","48","3.1"
"AIDS classifications","2016","Nebraska","31","34","2.2"
"AIDS classifications","2017","Nebraska","31","32","2.0"
"AIDS classifications","2018","Nebraska","31","38","2.4"
"AIDS classifications","2019","Nebraska","31","41","2.6"
"AIDS classifications","2020 (COVID-19 Pandemic)","Nebraska","31","35","2.2"
"AIDS deaths","2008","Nebraska","31","24","1.6"
"AIDS deaths","2009","Nebraska","31","26","1.8"
"AIDS deaths","2010","Nebraska","31","24","1.6"
"AIDS deaths","2011","Nebraska","31","20","1.3"
"AIDS deaths","2012","Nebraska","31","25","1.7"
"AIDS deaths","2013","Nebraska","31","26","1.7"
"AIDS deaths","2014","Nebraska","31","22","1.4"
"AIDS deaths","2015","Nebraska","31","23","1.5"
"AIDS deaths","2016","Nebraska","31","27","1.7"
"AIDS deaths","2017","Nebraska","31","23","1.5"
"AIDS deaths","2018","Nebraska","31","24","1.5"
"AIDS deaths","2019","Nebraska","31","17","1.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","Nebraska","31","23","1.4"
"AIDS prevalence","2008","Nebraska","31","778","53.4"
"AIDS prevalence","2009","Nebraska","31","818","55.8"
"AIDS prevalence","2010","Nebraska","31","920","61.6"
"AIDS prevalence","2011","Nebraska","31","959","63.8"
"AIDS prevalence","2012","Nebraska","31","961","63.5"
"AIDS prevalence","2013","Nebraska","31","981","64.3"
"AIDS prevalence","2014","Nebraska","31","1,017","66.1"
"AIDS prevalence","2015","Nebraska","31","1,041","67.2"
"AIDS prevalence","2016","Nebraska","31","1,038","66.5"
"AIDS prevalence","2017","Nebraska","31","1,043","66.4"
"AIDS prevalence","2018","Nebraska","31","1,049","66.4"
"AIDS prevalence","2019","Nebraska","31","1,076","67.7"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Nebraska","31","1,120","70.2"
"HIV deaths","2008","Nebraska","31","28","1.9"
"HIV deaths","2009","Nebraska","31","31","2.1"
"HIV deaths","2010","Nebraska","31","29","1.9"
"HIV deaths","2011","Nebraska","31","24","1.6"
"HIV deaths","2012","Nebraska","31","32","2.1"
"HIV deaths","2013","Nebraska","31","32","2.1"
"HIV deaths","2014","Nebraska","31","29","1.9"
"HIV deaths","2015","Nebraska","31","27","1.7"
"HIV deaths","2016","Nebraska","31","29","1.9"
"HIV deaths","2017","Nebraska","31","33","2.1"
"HIV deaths","2018","Nebraska","31","31","2.0"
"HIV deaths","2019","Nebraska","31","33","2.1"
"HIV deaths","2020 (COVID-19 Pandemic)","Nebraska","31","25","1.6"
"HIV diagnoses","2008","Nebraska","31","97","6.7"
"HIV diagnoses","2009","Nebraska","31","108","7.4"
"HIV diagnoses","2010","Nebraska","31","115","7.7"
"HIV diagnoses","2011","Nebraska","31","79","5.3"
"HIV diagnoses","2012","Nebraska","31","81","5.3"
"HIV diagnoses","2013","Nebraska","31","81","5.3"
"HIV diagnoses","2014","Nebraska","31","87","5.7"
"HIV diagnoses","2015","Nebraska","31","80","5.2"
"HIV diagnoses","2016","Nebraska","31","74","4.7"
"HIV diagnoses","2017","Nebraska","31","87","5.5"
"HIV diagnoses","2018","Nebraska","31","77","4.9"
"HIV diagnoses","2019","Nebraska","31","81","5.1"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Nebraska","31","73","4.6"
"HIV prevalence","2008","Nebraska","31","1,426","97.8"
"HIV prevalence","2009","Nebraska","31","1,510","102.9"
"HIV prevalence","2010","Nebraska","31","1,726","115.5"
"HIV prevalence","2011","Nebraska","31","1,777","118.2"
"HIV prevalence","2012","Nebraska","31","1,812","119.6"
"HIV prevalence","2013","Nebraska","31","1,848","121.1"
"HIV prevalence","2014","Nebraska","31","1,929","125.4"
"HIV prevalence","2015","Nebraska","31","1,985","128.2"
"HIV prevalence","2016","Nebraska","31","2,042","130.8"
"HIV prevalence","2017","Nebraska","31","2,108","134.2"
"HIV prevalence","2018","Nebraska","31","2,159","136.6"
"HIV prevalence","2019","Nebraska","31","2,221","139.8"
"HIV prevalence","2020 (COVID-19 Pandemic)","Nebraska","31","2,324","145.7"
"AIDS classifications","2008","Nevada","32","275","13.0"
"AIDS classifications","2009","Nevada","32","224","10.5"
"AIDS classifications","2010","Nevada","32","222","10.0"
"AIDS classifications","2011","Nevada","32","216","9.7"
"AIDS classifications","2012","Nevada","32","225","9.9"
"AIDS classifications","2013","Nevada","32","246","10.7"
"AIDS classifications","2014","Nevada","32","207","8.8"
"AIDS classifications","2015","Nevada","32","206","8.6"
"AIDS classifications","2016","Nevada","32","235","9.7"
"AIDS classifications","2017","Nevada","32","195","7.9"
"AIDS classifications","2018","Nevada","32","208","8.2"
"AIDS classifications","2019","Nevada","32","227","8.8"
"AIDS classifications","2020 (COVID-19 Pandemic)","Nevada","32","159","6.0"
"AIDS deaths","2008","Nevada","32","117","5.5"
"AIDS deaths","2009","Nevada","32","101","4.7"
"AIDS deaths","2010","Nevada","32","100","4.5"
"AIDS deaths","2011","Nevada","32","111","5.0"
"AIDS deaths","2012","Nevada","32","136","6.0"
"AIDS deaths","2013","Nevada","32","113","4.9"
"AIDS deaths","2014","Nevada","32","106","4.5"
"AIDS deaths","2015","Nevada","32","104","4.4"
"AIDS deaths","2016","Nevada","32","117","4.8"
"AIDS deaths","2017","Nevada","32","137","5.5"
"AIDS deaths","2018","Nevada","32","135","5.3"
"AIDS deaths","2019","Nevada","32","119","4.6"
"AIDS deaths","2020 (COVID-19 Pandemic)","Nevada","32","141","5.3"
"AIDS prevalence","2008","Nevada","32","2,944","139.0"
"AIDS prevalence","2009","Nevada","32","3,066","143.1"
"AIDS prevalence","2010","Nevada","32","3,477","156.4"
"AIDS prevalence","2011","Nevada","32","3,559","159.1"
"AIDS prevalence","2012","Nevada","32","3,647","160.6"
"AIDS prevalence","2013","Nevada","32","3,745","162.6"
"AIDS prevalence","2014","Nevada","32","4,015","171.4"
"AIDS prevalence","2015","Nevada","32","4,171","174.8"
"AIDS prevalence","2016","Nevada","32","4,334","178.2"
"AIDS prevalence","2017","Nevada","32","4,574","184.5"
"AIDS prevalence","2018","Nevada","32","4,758","187.8"
"AIDS prevalence","2019","Nevada","32","4,944","190.8"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Nevada","32","5,059","191.7"
"HIV deaths","2008","Nevada","32","139","6.6"
"HIV deaths","2009","Nevada","32","122","5.7"
"HIV deaths","2010","Nevada","32","124","5.6"
"HIV deaths","2011","Nevada","32","134","6.0"
"HIV deaths","2012","Nevada","32","158","7.0"
"HIV deaths","2013","Nevada","32","141","6.1"
"HIV deaths","2014","Nevada","32","129","5.5"
"HIV deaths","2015","Nevada","32","128","5.4"
"HIV deaths","2016","Nevada","32","150","6.2"
"HIV deaths","2017","Nevada","32","175","7.1"
"HIV deaths","2018","Nevada","32","160","6.3"
"HIV deaths","2019","Nevada","32","155","6.0"
"HIV deaths","2020 (COVID-19 Pandemic)","Nevada","32","172","6.5"
"HIV diagnoses","2008","Nevada","32","389","18.4"
"HIV diagnoses","2009","Nevada","32","362","16.9"
"HIV diagnoses","2010","Nevada","32","370","16.6"
"HIV diagnoses","2011","Nevada","32","382","17.1"
"HIV diagnoses","2012","Nevada","32","364","16.0"
"HIV diagnoses","2013","Nevada","32","431","18.7"
"HIV diagnoses","2014","Nevada","32","429","18.3"
"HIV diagnoses","2015","Nevada","32","477","20.0"
"HIV diagnoses","2016","Nevada","32","508","20.9"
"HIV diagnoses","2017","Nevada","32","497","20.0"
"HIV diagnoses","2018","Nevada","32","497","19.6"
"HIV diagnoses","2019","Nevada","32","518","20.0"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Nevada","32","392","14.9"
"HIV prevalence","2008","Nevada","32","6,031","284.7"
"HIV prevalence","2009","Nevada","32","6,261","292.3"
"HIV prevalence","2010","Nevada","32","6,603","297.0"
"HIV prevalence","2011","Nevada","32","6,825","305.0"
"HIV prevalence","2012","Nevada","32","7,059","310.8"
"HIV prevalence","2013","Nevada","32","7,327","318.1"
"HIV prevalence","2014","Nevada","32","7,903","337.4"
"HIV prevalence","2015","Nevada","32","8,388","351.5"
"HIV prevalence","2016","Nevada","32","8,825","363.0"
"HIV prevalence","2017","Nevada","32","9,502","383.2"
"HIV prevalence","2018","Nevada","32","10,083","398.0"
"HIV prevalence","2019","Nevada","32","10,659","411.5"
"HIV prevalence","2020 (COVID-19 Pandemic)","Nevada","32","11,042","418.5"
"AIDS classifications","2008","New Hampshire","33","25","2.2"
"AIDS classifications","2009","New Hampshire","33","41","3.6"
"AIDS classifications","2010","New Hampshire","33","30","2.7"
"AIDS classifications","2011","New Hampshire","33","25","2.2"
"AIDS classifications","2012","New Hampshire","33","27","2.4"
"AIDS classifications","2013","New Hampshire","33","17","1.5"
"AIDS classifications","2014","New Hampshire","33","15","1.3"
"AIDS classifications","2015","New Hampshire","33","15","1.3"
"AIDS classifications","2016","New Hampshire","33","21","1.8"
"AIDS classifications","2017","New Hampshire","33","12","1.0"
"AIDS classifications","2018","New Hampshire","33","19","1.6"
"AIDS classifications","2019","New Hampshire","33","11","0.9"
"AIDS classifications","2020 (COVID-19 Pandemic)","New Hampshire","33","13","1.1"
"AIDS deaths","2008","New Hampshire","33","12","1.1"
"AIDS deaths","2009","New Hampshire","33","18","1.6"
"AIDS deaths","2010","New Hampshire","33","19","1.7"
"AIDS deaths","2011","New Hampshire","33","13","1.2"
"AIDS deaths","2012","New Hampshire","33","16","1.4"
"AIDS deaths","2013","New Hampshire","33","12","1.1"
"AIDS deaths","2014","New Hampshire","33","9","0.8"
"AIDS deaths","2015","New Hampshire","33","24","2.1"
"AIDS deaths","2016","New Hampshire","33","15","1.3"
"AIDS deaths","2017","New Hampshire","33","15","1.3"
"AIDS deaths","2018","New Hampshire","33","15","1.3"
"AIDS deaths","2019","New Hampshire","33","13","1.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Hampshire","33","10","0.8"
"AIDS prevalence","2008","New Hampshire","33","534","47.7"
"AIDS prevalence","2009","New Hampshire","33","561","49.9"
"AIDS prevalence","2010","New Hampshire","33","608","54.3"
"AIDS prevalence","2011","New Hampshire","33","613","54.4"
"AIDS prevalence","2012","New Hampshire","33","614","54.1"
"AIDS prevalence","2013","New Hampshire","33","620","54.4"
"AIDS prevalence","2014","New Hampshire","33","634","55.1"
"AIDS prevalence","2015","New Hampshire","33","598","51.8"
"AIDS prevalence","2016","New Hampshire","33","596","51.3"
"AIDS prevalence","2017","New Hampshire","33","595","50.8"
"AIDS prevalence","2018","New Hampshire","33","609","51.7"
"AIDS prevalence","2019","New Hampshire","33","624","52.7"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New Hampshire","33","632","53.0"
"HIV deaths","2008","New Hampshire","33","17","1.5"
"HIV deaths","2009","New Hampshire","33","22","2.0"
"HIV deaths","2010","New Hampshire","33","19","1.7"
"HIV deaths","2011","New Hampshire","33","14","1.2"
"HIV deaths","2012","New Hampshire","33","22","1.9"
"HIV deaths","2013","New Hampshire","33","15","1.3"
"HIV deaths","2014","New Hampshire","33","13","1.1"
"HIV deaths","2015","New Hampshire","33","29","2.5"
"HIV deaths","2016","New Hampshire","33","20","1.7"
"HIV deaths","2017","New Hampshire","33","21","1.8"
"HIV deaths","2018","New Hampshire","33","18","1.5"
"HIV deaths","2019","New Hampshire","33","17","1.4"
"HIV deaths","2020 (COVID-19 Pandemic)","New Hampshire","33","12","1.0"
"HIV diagnoses","2008","New Hampshire","33","43","3.8"
"HIV diagnoses","2009","New Hampshire","33","38","3.4"
"HIV diagnoses","2010","New Hampshire","33","50","4.5"
"HIV diagnoses","2011","New Hampshire","33","40","3.5"
"HIV diagnoses","2012","New Hampshire","33","48","4.2"
"HIV diagnoses","2013","New Hampshire","33","36","3.2"
"HIV diagnoses","2014","New Hampshire","33","40","3.5"
"HIV diagnoses","2015","New Hampshire","33","25","2.2"
"HIV diagnoses","2016","New Hampshire","33","39","3.4"
"HIV diagnoses","2017","New Hampshire","33","32","2.7"
"HIV diagnoses","2018","New Hampshire","33","38","3.2"
"HIV diagnoses","2019","New Hampshire","33","31","2.6"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Hampshire","33","33","2.8"
"HIV prevalence","2008","New Hampshire","33","1,024","91.5"
"HIV prevalence","2009","New Hampshire","33","1,040","92.5"
"HIV prevalence","2010","New Hampshire","33","1,083","96.7"
"HIV prevalence","2011","New Hampshire","33","1,100","97.6"
"HIV prevalence","2012","New Hampshire","33","1,117","98.5"
"HIV prevalence","2013","New Hampshire","33","1,136","99.6"
"HIV prevalence","2014","New Hampshire","33","1,183","102.9"
"HIV prevalence","2015","New Hampshire","33","1,134","98.2"
"HIV prevalence","2016","New Hampshire","33","1,152","99.1"
"HIV prevalence","2017","New Hampshire","33","1,174","100.3"
"HIV prevalence","2018","New Hampshire","33","1,245","105.8"
"HIV prevalence","2019","New Hampshire","33","1,302","110.0"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Hampshire","33","1,328","111.5"
"AIDS classifications","2008","New Jersey","34","1,094","15.2"
"AIDS classifications","2009","New Jersey","34","1,098","15.1"
"AIDS classifications","2010","New Jersey","34","931","12.7"
"AIDS classifications","2011","New Jersey","34","813","11.0"
"AIDS classifications","2012","New Jersey","34","790","10.7"
"AIDS classifications","2013","New Jersey","34","750","10.1"
"AIDS classifications","2014","New Jersey","34","688","9.2"
"AIDS classifications","2015","New Jersey","34","636","8.5"
"AIDS classifications","2016","New Jersey","34","525","7.0"
"AIDS classifications","2017","New Jersey","34","500","6.7"
"AIDS classifications","2018","New Jersey","34","515","6.9"
"AIDS classifications","2019","New Jersey","34","459","6.1"
"AIDS classifications","2020 (COVID-19 Pandemic)","New Jersey","34","385","5.1"
"AIDS deaths","2008","New Jersey","34","695","9.6"
"AIDS deaths","2009","New Jersey","34","617","8.5"
"AIDS deaths","2010","New Jersey","34","645","8.8"
"AIDS deaths","2011","New Jersey","34","596","8.1"
"AIDS deaths","2012","New Jersey","34","530","7.2"
"AIDS deaths","2013","New Jersey","34","562","7.6"
"AIDS deaths","2014","New Jersey","34","507","6.8"
"AIDS deaths","2015","New Jersey","34","517","6.9"
"AIDS deaths","2016","New Jersey","34","472","6.3"
"AIDS deaths","2017","New Jersey","34","474","6.3"
"AIDS deaths","2018","New Jersey","34","471","6.3"
"AIDS deaths","2019","New Jersey","34","472","6.3"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Jersey","34","520","6.9"
"AIDS prevalence","2008","New Jersey","34","17,699","245.7"
"AIDS prevalence","2009","New Jersey","34","18,164","250.5"
"AIDS prevalence","2010","New Jersey","34","17,782","242.1"
"AIDS prevalence","2011","New Jersey","34","17,819","241.4"
"AIDS prevalence","2012","New Jersey","34","17,931","242.0"
"AIDS prevalence","2013","New Jersey","34","18,359","247.0"
"AIDS prevalence","2014","New Jersey","34","18,287","245.4"
"AIDS prevalence","2015","New Jersey","34","18,124","242.8"
"AIDS prevalence","2016","New Jersey","34","17,761","237.6"
"AIDS prevalence","2017","New Jersey","34","17,817","237.7"
"AIDS prevalence","2018","New Jersey","34","17,726","236.2"
"AIDS prevalence","2019","New Jersey","34","17,674","235.3"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New Jersey","34","17,555","233.7"
"HIV deaths","2008","New Jersey","34","861","12.0"
"HIV deaths","2009","New Jersey","34","769","10.6"
"HIV deaths","2010","New Jersey","34","793","10.8"
"HIV deaths","2011","New Jersey","34","746","10.1"
"HIV deaths","2012","New Jersey","34","642","8.7"
"HIV deaths","2013","New Jersey","34","725","9.8"
"HIV deaths","2014","New Jersey","34","657","8.8"
"HIV deaths","2015","New Jersey","34","638","8.5"
"HIV deaths","2016","New Jersey","34","645","8.6"
"HIV deaths","2017","New Jersey","34","645","8.6"
"HIV deaths","2018","New Jersey","34","637","8.5"
"HIV deaths","2019","New Jersey","34","624","8.3"
"HIV deaths","2020 (COVID-19 Pandemic)","New Jersey","34","717","9.5"
"HIV diagnoses","2008","New Jersey","34","1,422","19.7"
"HIV diagnoses","2009","New Jersey","34","1,384","19.1"
"HIV diagnoses","2010","New Jersey","34","1,349","18.4"
"HIV diagnoses","2011","New Jersey","34","1,170","15.9"
"HIV diagnoses","2012","New Jersey","34","1,273","17.2"
"HIV diagnoses","2013","New Jersey","34","1,199","16.1"
"HIV diagnoses","2014","New Jersey","34","1,236","16.6"
"HIV diagnoses","2015","New Jersey","34","1,186","15.9"
"HIV diagnoses","2016","New Jersey","34","1,184","15.8"
"HIV diagnoses","2017","New Jersey","34","1,105","14.7"
"HIV diagnoses","2018","New Jersey","34","1,020","13.6"
"HIV diagnoses","2019","New Jersey","34","1,083","14.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Jersey","34","805","10.7"
"HIV prevalence","2008","New Jersey","34","33,176","460.5"
"HIV prevalence","2009","New Jersey","34","33,758","465.6"
"HIV prevalence","2010","New Jersey","34","32,493","442.4"
"HIV prevalence","2011","New Jersey","34","32,621","442.0"
"HIV prevalence","2012","New Jersey","34","33,004","445.5"
"HIV prevalence","2013","New Jersey","34","33,844","455.3"
"HIV prevalence","2014","New Jersey","34","34,027","456.6"
"HIV prevalence","2015","New Jersey","34","34,077","456.5"
"HIV prevalence","2016","New Jersey","34","34,027","455.2"
"HIV prevalence","2017","New Jersey","34","34,457","459.7"
"HIV prevalence","2018","New Jersey","34","34,599","461.0"
"HIV prevalence","2019","New Jersey","34","34,992","465.9"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Jersey","34","35,136","467.8"
"AIDS classifications","2008","New Mexico","35","106","6.5"
"AIDS classifications","2009","New Mexico","35","109","6.7"
"AIDS classifications","2010","New Mexico","35","100","5.9"
"AIDS classifications","2011","New Mexico","35","93","5.5"
"AIDS classifications","2012","New Mexico","35","84","4.9"
"AIDS classifications","2013","New Mexico","35","77","4.5"
"AIDS classifications","2014","New Mexico","35","57","3.3"
"AIDS classifications","2015","New Mexico","35","53","3.1"
"AIDS classifications","2016","New Mexico","35","69","4.0"
"AIDS classifications","2017","New Mexico","35","57","3.3"
"AIDS classifications","2018","New Mexico","35","69","3.9"
"AIDS classifications","2019","New Mexico","35","53","3.0"
"AIDS classifications","2020 (COVID-19 Pandemic)","New Mexico","35","46","2.6"
"AIDS deaths","2008","New Mexico","35","59","3.6"
"AIDS deaths","2009","New Mexico","35","40","2.4"
"AIDS deaths","2010","New Mexico","35","48","2.8"
"AIDS deaths","2011","New Mexico","35","44","2.6"
"AIDS deaths","2012","New Mexico","35","41","2.4"
"AIDS deaths","2013","New Mexico","35","39","2.3"
"AIDS deaths","2014","New Mexico","35","52","3.0"
"AIDS deaths","2015","New Mexico","35","68","3.9"
"AIDS deaths","2016","New Mexico","35","41","2.4"
"AIDS deaths","2017","New Mexico","35","49","2.8"
"AIDS deaths","2018","New Mexico","35","52","3.0"
"AIDS deaths","2019","New Mexico","35","37","2.1"
"AIDS deaths","2020 (COVID-19 Pandemic)","New Mexico","35","56","3.2"
"AIDS prevalence","2008","New Mexico","35","1,300","80.2"
"AIDS prevalence","2009","New Mexico","35","1,372","83.8"
"AIDS prevalence","2010","New Mexico","35","1,752","103.7"
"AIDS prevalence","2011","New Mexico","35","1,785","104.6"
"AIDS prevalence","2012","New Mexico","35","1,785","104.0"
"AIDS prevalence","2013","New Mexico","35","1,769","102.6"
"AIDS prevalence","2014","New Mexico","35","1,798","104.1"
"AIDS prevalence","2015","New Mexico","35","1,818","105.0"
"AIDS prevalence","2016","New Mexico","35","1,842","106.0"
"AIDS prevalence","2017","New Mexico","35","1,861","106.7"
"AIDS prevalence","2018","New Mexico","35","1,935","110.5"
"AIDS prevalence","2019","New Mexico","35","1,985","112.7"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New Mexico","35","2,006","113.1"
"HIV deaths","2008","New Mexico","35","68","4.2"
"HIV deaths","2009","New Mexico","35","55","3.4"
"HIV deaths","2010","New Mexico","35","63","3.7"
"HIV deaths","2011","New Mexico","35","51","3.0"
"HIV deaths","2012","New Mexico","35","57","3.3"
"HIV deaths","2013","New Mexico","35","46","2.7"
"HIV deaths","2014","New Mexico","35","67","3.9"
"HIV deaths","2015","New Mexico","35","75","4.3"
"HIV deaths","2016","New Mexico","35","48","2.8"
"HIV deaths","2017","New Mexico","35","62","3.6"
"HIV deaths","2018","New Mexico","35","75","4.3"
"HIV deaths","2019","New Mexico","35","56","3.2"
"HIV deaths","2020 (COVID-19 Pandemic)","New Mexico","35","78","4.4"
"HIV diagnoses","2008","New Mexico","35","154","9.5"
"HIV diagnoses","2009","New Mexico","35","159","9.7"
"HIV diagnoses","2010","New Mexico","35","149","8.8"
"HIV diagnoses","2011","New Mexico","35","135","7.9"
"HIV diagnoses","2012","New Mexico","35","115","6.7"
"HIV diagnoses","2013","New Mexico","35","140","8.1"
"HIV diagnoses","2014","New Mexico","35","135","7.8"
"HIV diagnoses","2015","New Mexico","35","136","7.9"
"HIV diagnoses","2016","New Mexico","35","149","8.6"
"HIV diagnoses","2017","New Mexico","35","148","8.5"
"HIV diagnoses","2018","New Mexico","35","155","8.9"
"HIV diagnoses","2019","New Mexico","35","174","9.9"
"HIV diagnoses","2020 (COVID-19 Pandemic)","New Mexico","35","131","7.4"
"HIV prevalence","2008","New Mexico","35","2,146","132.4"
"HIV prevalence","2009","New Mexico","35","2,254","137.7"
"HIV prevalence","2010","New Mexico","35","2,852","168.7"
"HIV prevalence","2011","New Mexico","35","2,947","172.8"
"HIV prevalence","2012","New Mexico","35","2,934","171.0"
"HIV prevalence","2013","New Mexico","35","2,909","168.7"
"HIV prevalence","2014","New Mexico","35","3,052","176.7"
"HIV prevalence","2015","New Mexico","35","3,177","183.5"
"HIV prevalence","2016","New Mexico","35","3,287","189.1"
"HIV prevalence","2017","New Mexico","35","3,419","196.1"
"HIV prevalence","2018","New Mexico","35","3,630","207.4"
"HIV prevalence","2019","New Mexico","35","3,806","216.1"
"HIV prevalence","2020 (COVID-19 Pandemic)","New Mexico","35","3,934","221.8"
"AIDS classifications","2008","New York","36","3,614","22.1"
"AIDS classifications","2009","New York","36","3,238","19.7"
"AIDS classifications","2010","New York","36","2,765","16.9"
"AIDS classifications","2011","New York","36","2,533","15.4"
"AIDS classifications","2012","New York","36","2,213","13.4"
"AIDS classifications","2013","New York","36","2,032","12.2"
"AIDS classifications","2014","New York","36","1,616","9.7"
"AIDS classifications","2015","New York","36","1,538","9.2"
"AIDS classifications","2016","New York","36","1,608","9.7"
"AIDS classifications","2017","New York","36","1,446","8.7"
"AIDS classifications","2018","New York","36","1,371","8.3"
"AIDS classifications","2019","New York","36","1,300","7.9"
"AIDS classifications","2020 (COVID-19 Pandemic)","New York","36","1,062","6.5"
"AIDS deaths","2008","New York","36","2,148","13.2"
"AIDS deaths","2009","New York","36","2,046","12.5"
"AIDS deaths","2010","New York","36","1,874","11.5"
"AIDS deaths","2011","New York","36","1,824","11.1"
"AIDS deaths","2012","New York","36","1,710","10.3"
"AIDS deaths","2013","New York","36","1,686","10.2"
"AIDS deaths","2014","New York","36","1,589","9.5"
"AIDS deaths","2015","New York","36","1,487","8.9"
"AIDS deaths","2016","New York","36","1,535","9.2"
"AIDS deaths","2017","New York","36","1,470","8.8"
"AIDS deaths","2018","New York","36","1,410","8.5"
"AIDS deaths","2019","New York","36","1,447","8.7"
"AIDS deaths","2020 (COVID-19 Pandemic)","New York","36","1,924","11.7"
"AIDS prevalence","2008","New York","36","70,437","431.3"
"AIDS prevalence","2009","New York","36","71,578","436.2"
"AIDS prevalence","2010","New York","36","72,188","441.2"
"AIDS prevalence","2011","New York","36","72,567","440.9"
"AIDS prevalence","2012","New York","36","72,765","439.9"
"AIDS prevalence","2013","New York","36","72,720","438.0"
"AIDS prevalence","2014","New York","36","73,505","441.6"
"AIDS prevalence","2015","New York","36","73,049","438.5"
"AIDS prevalence","2016","New York","36","73,015","438.3"
"AIDS prevalence","2017","New York","36","72,550","436.0"
"AIDS prevalence","2018","New York","36","72,128","434.2"
"AIDS prevalence","2019","New York","36","71,329","430.8"
"AIDS prevalence","2020 (COVID-19 Pandemic)","New York","36","70,017","425.3"
"HIV deaths","2008","New York","36","2,469","15.1"
"HIV deaths","2009","New York","36","2,352","14.3"
"HIV deaths","2010","New York","36","2,224","13.6"
"HIV deaths","2011","New York","36","2,162","13.1"
"HIV deaths","2012","New York","36","2,032","12.3"
"HIV deaths","2013","New York","36","1,983","11.9"
"HIV deaths","2014","New York","36","1,922","11.5"
